Sample	percent_aligned	not_pseudoaligned_reads	pseudoaligned_reads	total_reads
kallisto | HS01 subsample | SRR8668755_1M_subsample	53.458099999999995	465419.0	534581.0	1000000.0
kallisto | SRR8668755	53.41962436886376	41885704.0	48035649.0	89921353.0
kallisto | SRR8668756	69.8556901789105	25467075.0	59016780.0	84483855.0
kallisto | SRR8668757	49.53888995180841	47993642.0	47116517.0	95110159.0
kallisto | SRR8668758	63.00258683406462	11159004.0	19002575.0	30161579.0
kallisto | SRR8668759	49.15534048786938	2706869.0	2616933.0	5323802.0
kallisto | SRR8668769	68.54808895838426	29643908.0	64607624.0	94251532.0
kallisto | SRR8668771	52.80912132196055	30408168.0	34028369.0	64436537.0
kallisto | SRR8668772	55.117199780240234	30601051.0	37578855.0	68179906.0
kallisto | SRR8668773	66.29023930123701	23590132.0	46389991.0	69980123.0
kallisto | SRR8668774	59.75096218223157	53687360.0	79700574.0	133387934.0
